id,num_of_passes,diffTime,average
1,100,3085,3085
2,100,3075,3080
3,100,3076,3078
4,100,3090,3081
5,100,3135,3092
6,100,3105,3094
7,100,3135,3100
8,100,3076,3097
9,100,3060,3093
10,100,3121,3095
11,100,3105,3096
12,100,3075,3094
13,100,3181,3101
14,100,3165,3106
15,100,3106,3106
16,100,3105,3105
17,100,3105,3105
18,100,3061,3103
19,100,3075,3101
20,100,3061,3099
21,100,3105,3100
22,100,3105,3100
23,100,3076,3099
24,100,3165,3102
25,100,3151,3103
26,100,3165,3106
27,100,3060,3104
28,100,3150,3106
29,100,3135,3107
30,100,3091,3106
31,100,3030,3104
32,100,3150,3105
33,100,3105,3105
34,100,3135,3106
35,100,3241,3110
36,100,3135,3111
37,100,3076,3110
38,100,3090,3109
39,100,3105,3109
40,100,3106,3109
41,100,3135,3109
42,100,3121,3110
43,100,3105,3110
44,100,3090,3109
45,100,3121,3109
46,100,3090,3109
47,100,3151,3110
48,100,3075,3109
49,100,3120,3109
50,100,3121,3110
51,100,3120,3110
52,100,3136,3110
53,100,3135,3111
54,100,3120,3111
55,100,3060,3110
56,100,3210,3112
57,100,3076,3111
58,100,3075,3110
59,100,3136,3111
60,100,3090,3111
61,100,3120,3111
62,100,3151,3111
63,100,3150,3112
64,100,3076,3111
65,100,3075,3111
66,100,3090,3110
67,100,3061,3110
68,100,3105,3110
69,100,3091,3109
70,100,3120,3109
71,100,3150,3110
72,100,3076,3110
73,100,3045,3109
74,100,3031,3108
75,100,3150,3108
76,100,3075,3108
77,100,3271,3110
78,100,3120,3110
79,100,3091,3110
80,100,3105,3110
81,100,3090,3109
82,100,3060,3109
83,100,3075,3108
84,100,3121,3109
85,100,3120,3109
86,100,3075,3108
87,100,3165,3109
88,100,3105,3109
89,100,3061,3108
90,100,3120,3108
91,100,3091,3108
92,100,3105,3108
93,100,3060,3108
94,100,3091,3108
95,100,3090,3107
96,100,3106,3107
97,100,3180,3108
98,100,3225,3109
99,100,3211,3110
100,100,3045,3110
101,100,3091,3109
102,100,3060,3109
103,100,3105,3109
104,100,3121,3109
105,100,3105,3109
106,100,3136,3109
107,100,3150,3110
108,100,3075,3109
109,100,3060,3109
110,100,3075,3108
111,100,3061,3108
112,100,3105,3108
113,100,3075,3108
114,100,3075,3107
115,100,3090,3107
116,100,3091,3107
117,100,3210,3108
118,100,3166,3108
119,100,3135,3109
120,100,3180,3109
121,100,3106,3109
122,100,3090,3109
123,100,3091,3109
124,100,3120,3109
125,100,3120,3109
126,100,3076,3109
127,100,3090,3109
128,100,3076,3108
129,100,3090,3108
130,100,3105,3108
131,100,3061,3108
132,100,3105,3108
133,100,3121,3108
134,100,3150,3108
135,100,3165,3109
136,100,3091,3109
137,100,3075,3108
138,100,3136,3109
139,100,3105,3108
140,100,3165,3109
141,100,3135,3109
142,100,3105,3109
143,100,3076,3109
144,100,3075,3109
145,100,3106,3109
146,100,3045,3108
147,100,3060,3108
148,100,3091,3108
149,100,3090,3108
150,100,3061,3107
151,100,3105,3107
152,100,3135,3107
153,100,3121,3107
154,100,3120,3108
155,100,3076,3107
156,100,3105,3107
157,100,3120,3107
158,100,3076,3107
159,100,3135,3107
160,100,3106,3107
161,100,3240,3108
162,100,3165,3109
163,100,3091,3108
164,100,3060,3108
165,100,3016,3108
166,100,3045,3107
167,100,3090,3107
168,100,3120,3107
169,100,3120,3107
170,100,3091,3107
171,100,3135,3107
172,100,3090,3107
173,100,3060,3107
174,100,3105,3107
175,100,3151,3107
176,100,3090,3107
177,100,3136,3107
178,100,3075,3107
179,100,3060,3107
180,100,3151,3107
181,100,3075,3107
182,100,3226,3107
183,100,3090,3107
184,100,3090,3107
185,100,3061,3107
186,100,3150,3107
187,100,3061,3107
188,100,3090,3107
189,100,3090,3107
190,100,3076,3107
191,100,3060,3106
192,100,3091,3106
193,100,3120,3106
194,100,3060,3106
195,100,3046,3106
196,100,3315,3107
197,100,3151,3107
198,100,3090,3107
199,100,3060,3107
200,100,3045,3106
201,100,3195,3107
202,100,3166,3107
203,100,3225,3108
204,100,3091,3108
205,100,3075,3108
206,100,3165,3108
207,100,3121,3108
208,100,3075,3108
209,100,3091,3108
210,100,3000,3107
211,100,3090,3107
212,100,3076,3107
213,100,3075,3107
214,100,3106,3107
215,100,3120,3107
216,100,3075,3107
217,100,3136,3107
218,100,3060,3107
219,100,3061,3106
220,100,3060,3106
221,100,3090,3106
222,100,3076,3106
223,100,3120,3106
224,100,3241,3107
225,100,3195,3107
226,100,3090,3107
227,100,3030,3107
228,100,3075,3106
